sample	type1	type2	individual
T2107171952	A	XZ	18
T2107171953	C	XZ	18
T2107171954	D	XZ	18
T2107171955	B	XZ	21
T2107171956	A	XZ	21
T2107171957	C	XZ	21
T2107171958	D	XZ	21
T2107171959	C	XZ	54
T2107171960	D	XZ	54
T2107171961	A	XZ	54
T2107171962	B	XZ	54
T2107171963	B	XZ	48
T2107171964	A	XZ	48
T2107171965	C	XZ	48
T2107171966	D	XZ	48
T2107171967	C	XZ	22
T2107171968	D	XZ	22
T2107171969	B	XZ	22
T2107171970	A	XZ	22
T2107171971	A	XZ	27
T2107171972	C	XZ	27
T2107171973	D	XZ	27
T2107171974	B	XZ	27
T2107171975	B	XZ	12
T2107171976	C	XZ	12
T2107171977	D	XZ	12
T2107171978	C	XZ	78
T2107171979	B	XZ	78
T2107171980	A	XZ	78
T2107171981	D	XZ	78
T2107171982	B	XZ	68
T2107171983	A	XZ	77
T2107171984	C	XZ	77
T2107171985	D	XZ	77
T2107171986	B	XZ	77
T2107171987	C	XZ	4
T2107171988	A	XZ	4
T2107171989	B	XZ	4
T2107171990	D	XZ	4
T2107171991	C	XZ	24
T2107171992	D	XZ	24
T2107171993	A	XZ	24
T2107171994	B	XZ	24
T2107171995	D	XZ	38
T2107171996	A	XZ	38
T2107171997	C	XZ	38
T2107171998	B	XZ	38
T2107171999	B	XZ	53
T2107172000	D	XZ	53
T2107172001	A	XZ	53
T2107172002	C	XZ	53
T2107172003	A	XZ	13
T2107172004	D	XZ	13
T2107172005	B	XZ	13
T2107172006	C	XZ	13
T2107172007	A	XZ	34
T2107172008	D	XZ	34
T2107172009	B	XZ	34
T2107172010	C	XZ	34
T2107172012	B	XZ	15
T2107172013	C	XZ	15
T2107172014	D	XZ	15
T2107172015	B	XZ	17
T2107172016	C	XZ	17
T2107172017	A	XZ	17
T2107172018	D	XZ	17
T2107172019	A	XZ	79
T2107172020	C	XZ	79
T2107172023	C	XZ	7
T2107172024	B	XZ	7
T2107172025	D	XZ	7
T2107172026	A	XZ	7
T2108173861	A	XZ	3
T2108173862	D	XZ	3
T2108173863	C	XZ	3
T2108173864	B	XZ	3
T2108173865	B	XZ	14
T2108173866	C	XZ	14
T2108173867	D	XZ	14
T2108173868	A	XZ	14
T2108173869	A	XZ	82
T2108173870	B	XZ	82
T2108173871	D	XZ	82
T2108173872	C	XZ	82
T2108173873	C	XZ	50
T2108173874	D	XZ	50
T2108173875	A	XZ	50
T2108173876	B	XZ	50
T2108173877	C	XZ	10
T2108173878	A	XZ	10
T2108173879	B	XZ	10
T2108173880	D	XZ	10
T2108173881	A	XZ	6
T2108173882	C	XZ	6
T2108173883	D	XZ	6
T2108173884	B	XZ	6
T2108173885	A	XZ	41
T2108173886	D	XZ	41
T2108173887	C	XZ	41
T2108173888	B	XZ	41
T2108173889	A	XZ	23
T2108173890	C	XZ	23
T2108173891	B	XZ	23
T2108173892	B	XZ	70
T2108173893	D	XZ	70
T2108173894	A	XZ	70
T2108173895	C	XZ	70
T2108173896	A	XZ	56
T2108173897	C	XZ	56
T2108173898	C	XZ	35
T2108173899	B	XZ	18
T2108173900	D	XZ	23
T2108173901	B	XZ	56
T2108173902	D	XZ	35
T2108173903	A	XZ	12
T2108173904	D	XZ	56
T2108173905	A	XZ	35
T2108173906	A	XZ	62
T2108173907	D	XZ	62
T2108173908	B	XZ	62
T2108173909	C	XZ	62
T2108173910	D	XZ	74
T2108173911	B	XZ	74
T2108173912	A	XZ	74
T2108173913	C	XZ	74
T2108173914	D	XZ	49
T2108173915	C	XZ	49
T2108173916	A	XZ	49
T2108173917	B	XZ	49
T2108173918	C	XZ	96
T2108173919	B	XZ	96
T2108173920	D	XZ	96
T2108173921	A	XZ	96
T2108173922	C	XZ	26
T2108173923	B	XZ	26
T2108173924	A	XZ	26
T2108173925	D	XZ	26
T2108173926	C	XZ	2
T2108173927	B	XZ	2
T2108173928	D	XZ	2
T2108173929	A	XZ	2
T2108173930	D	XZ	33
T2108173931	C	XZ	33
T2108173932	B	XZ	33
T2108173933	A	XZ	33
T2108173934	C	XZ	20
T2108173935	B	XZ	20
T2108173936	A	XZ	20
T2108173937	D	XZ	20
T2108173938	B	XZ	60
T2108173939	A	XZ	60
T2108173941	D	XZ	60
T2108173942	B	XZ	37
T2108173943	C	XZ	37
T2108173944	D	XZ	37
T2108173945	A	XZ	37
T2108173946	A	XZ	84
T2108173947	C	XZ	84
T2108173948	B	XZ	84
T2108173949	D	XZ	84
T2108173951	B	XZ	40
T2108173952	A	XZ	40
T2108173953	D	XZ	40
T2108173954	B	XZ	8
T2108173955	A	XZ	8
T2108173956	C	XZ	8
T2108173957	D	XZ	8
T2108173958	C	XZ	92
T2108173959	B	XZ	92
T2108173960	A	XZ	92
T2108173961	D	XZ	92
T2108173962	B	XZ	66
T2108173963	A	XZ	66
T2108173964	C	XZ	66
T2108173965	D	XZ	66
T2108173966	B	XZ	86
T2108173967	C	XZ	86
T2108173968	D	XZ	86
T2108173969	A	XZ	86
T2108173970	A	XZ	68
T2108173971	D	XZ	68
T2108173972	C	XZ	68
T2108173973	C	XZ	45
T2108173974	A	XZ	45
T2108173975	D	XZ	45
T2108173976	B	XZ	45
T2108173977	A	XZ	59
T2108173978	D	XZ	59
T2108173979	B	XZ	59
T2108173980	D	XZ	55
T2108173981	C	XZ	55
T2108173982	A	XZ	55
T2108173983	B	XZ	55
T2108173984	D	XZ	76
T2108173985	A	XZ	76
T2108173986	C	XZ	76
T2108173987	B	XZ	76
T2108173988	A	XZ	80
T2108173989	B	XZ	80
T2108173990	C	XZ	80
T2108173991	D	XZ	80
T2108173992	C	XZ	64
T2108173993	D	XZ	64
T2108173994	A	XZ	64
T2108173995	B	XZ	64
T2108173996	D	XZ	19
T2108173997	A	XZ	19
T2108173998	B	XZ	19
T2108173999	C	XZ	19
T2108174000	D	XZ	75
T2108174001	B	XZ	75
T2108174002	A	XZ	75
T2108174003	C	XZ	75
T2108174004	B	XZ	43
T2108174005	A	XZ	43
T2108174006	C	XZ	43
T2108174007	D	XZ	43
T2108174008	A	XZ	57
T2108174009	B	XZ	57
T2108174010	C	XZ	57
